BlackAvg,WhiteAvg,HispanicAvg,AvgIncome,Combo,school_id,SQRPRating,SQRPRankingNumber,AccountabilityStatus,AccountabilityStatusNumber,NSAReading3-8,NSAMath3-8
0.97,0,0.02,25412.35951,AB,610221,Level 1,2,Good Standing,1,61,45
0.94,0.01,0.04,23906.93414,AB,610223,Level 2,4,Provisional Support,2,14,13
0.93,0.01,0.03,24999.84072,AB,610225,Level 1,2,Good Standing,1,95,81
0.01,0.06,0.92,50611.06272,BH,610226,Level 1,2,Good Standing,1,49,57
0.01,0.02,0.95,39281.90624,BH,610227,Level 1,2,Good Standing,1,58,64
0.01,0.1,0.88,37882.8467,BH,610228,Level 2+,3,Good Standing,1,35,22
0.05,0.69,0.18,102171.0172,D,610229,Level 1,2,Good Standing,1,92,88
0,0.84,0.11,98803.14611,CW,610230,Level 1+,1,Good Standing,1,96,95
0.3,0.28,0.07,67836.46545,C,610231,Level 1+,1,Good Standing,1,70,57
0.1,0.39,0.47,55880.77078,B,610234,Level 2,4,Provisional Support,2,23,18
0.79,0.01,0.18,40895.18894,BB,610235,Level 2,4,Provisional Support,2,37,17
0.88,0.05,0.02,14695.78402,AB,610237,Level 2,4,Intensive Support,3,21,7
0.96,0,0.02,27081.98231,AB,610238,Level 1,2,Good Standing,1,41,22
0.08,0.06,0.85,30578.3113,BH,610239,Level 2+,3,Good Standing,1,36,31
0.2,0.56,0.12,34826.90671,B,610242,Level 1,2,Good Standing,1,71,60
0.83,0.09,0.05,34318.30262,BB,610251,Level 2,4,Provisional Support,2,29,25
0.95,0.02,0.03,24471.11783,AB,610254,Level 2+,3,Intensive Support,3,15,19
0.85,0.06,0.03,43426.19179,BB,610256,Level 1,2,Provisional Support,2,99,43
0.69,0.08,0.23,28160.54233,A,610257,Level 1,2,Good Standing,1,33,48
0.95,0,0,15834.1,AB,610263,Level 2+,3,Good Standing,1,16,14
0.94,0.02,0.02,23884.60374,AB,610268,Level 2+,3,Provisional Support,2,25,17
